"quarter","vintage","macro_factor_m1","macro_factor_m2","macro_factor_m3","macro_factor_short_m1","macro_factor_short_m2","macro_factor_short_m3"
2002-01-01,2005-01-07,-0.65,0.09,0.69,-2.258691526,-0.622477279,0.75068502
2002-04-01,2005-01-07,0.53,0.41,0.23,0.963999492,0.624873205,0.479872699
2002-07-01,2005-01-07,-0.27,-0.45,-0.43,-0.312187763,-1.400434822,-2.77038502
2002-10-01,2005-01-07,-0.7,-0.87,-1.18,-2.741823596,-2.473163772,-2.877330645
2003-01-01,2005-01-07,-1.02,-1.05,-1.65,-2.934646546,-3.591265354,-4.967902233
2003-04-01,2005-01-07,-1.42,-1.56,-1.26,-4.833386652,-4.949481902,-4.351562369
2003-07-01,2005-01-07,-0.55,0,0.38,-2.414921759,-0.597438764,1.093327779
2003-10-01,2005-01-07,0.65,0.87,0.42,2.836003713,4.20481248,4.045958041
2004-01-01,2005-01-07,0.41,0.49,0.16,4.295746434,3.698133265,2.768550811
2004-04-01,2005-01-07,0.17,0.19,0.12,2.970354385,3.678126155,3.340134597
2004-07-01,2005-01-07,0.02,-0.29,-0.18,3.47875007,2.551480767,1.679719715
2004-10-01,2005-01-07,-0.36,-0.73,-0.72,1.346281995,0.113289634,0.37910955
2005-01-01,2005-01-07,-0.64,-0.55,-0.46,0.507205408,0.541557831,0.516560005
2002-01-01,2005-01-17,-0.63,0.11,0.71,-2.264800537,-0.622099099,0.751271975
2002-04-01,2005-01-17,0.54,0.42,0.24,0.963141732,0.62581137,0.473035124
2002-07-01,2005-01-17,-0.27,-0.44,-0.43,-0.325936129,-1.412709497,-2.778310826
2002-10-01,2005-01-17,-0.7,-0.87,-1.17,-2.759104771,-2.497213108,-2.901960162
2003-01-01,2005-01-17,-1,-1.03,-1.64,-2.959102294,-3.614797885,-4.987111517
2003-04-01,2005-01-17,-1.4,-1.55,-1.24,-4.83777928,-4.948252634,-4.34813927
2003-07-01,2005-01-17,-0.54,0,0.39,-2.413908146,-0.591113128,1.095582472
2003-10-01,2005-01-17,0.66,0.89,0.42,2.82824305,4.197976727,4.047455893
2004-01-01,2005-01-17,0.4,0.49,0.15,4.303611858,3.70225263,2.772964537
2004-04-01,2005-01-17,0.16,0.18,0.09,2.972462242,3.674928033,3.334015465
2004-07-01,2005-01-17,-0.03,-0.36,-0.31,3.477730616,2.547739349,1.670282038
2004-10-01,2005-01-17,-0.52,-0.77,-0.72,1.336640081,0.111601077,0.470051172
2005-01-01,2005-01-17,-0.63,-0.54,-0.45,0.602287763,0.63091427,0.595121563
2005-04-01,2005-01-17,-0.37,-0.31,-0.25,0.523772212,0.4371253,0.348590591
2002-01-01,2005-02-01,-0.64,0.1,0.7,-2.281262039,-0.63755667,0.739967572
2002-04-01,2005-02-01,0.54,0.42,0.24,0.955095289,0.621247473,0.475936207
2002-07-01,2005-02-01,-0.27,-0.44,-0.43,-0.316860741,-1.406600974,-2.78613734
2002-10-01,2005-02-01,-0.7,-0.87,-1.17,-2.751112328,-2.48126343,-2.894832203
2003-01-01,2005-02-01,-1.01,-1.04,-1.64,-2.951649291,-3.606305665,-5.002821803
2003-04-01,2005-02-01,-1.41,-1.56,-1.24,-4.854403585,-4.978775639,-4.384380794
2003-07-01,2005-02-01,-0.55,0,0.39,-2.438488183,-0.607350557,1.084373942
2003-10-01,2005-02-01,0.66,0.88,0.42,2.825967908,4.207041126,4.048575348
2004-01-01,2005-02-01,0.4,0.49,0.16,4.306183616,3.704086778,2.771111804
2004-04-01,2005-02-01,0.16,0.19,0.1,2.978149296,3.688766914,3.337896973
2004-07-01,2005-02-01,-0.01,-0.34,-0.27,3.482681783,2.535502656,1.639977769
2004-10-01,2005-02-01,-0.45,-0.69,-0.63,1.299211832,0.048851105,0.506472776
2005-01-01,2005-02-01,-0.45,-0.34,-0.27,1.451881712,1.897981827,2.006748902
2005-04-01,2005-02-01,-0.22,-0.18,-0.15,1.903769253,1.682238014,1.408077511
2002-01-01,2005-02-16,-0.65,0.1,0.69,-2.332162194,-0.696873605,0.704668507
2002-04-01,2005-02-16,0.54,0.42,0.24,0.949001286,0.591538499,0.494479528
2002-07-01,2005-02-16,-0.27,-0.45,-0.44,-0.287744886,-1.414819649,-2.869526861
2002-10-01,2005-02-16,-0.71,-0.88,-1.18,-2.755278063,-2.452586886,-2.885700376
2003-01-01,2005-02-16,-1.02,-1.06,-1.66,-2.936273967,-3.601831269,-5.037126585
2003-04-01,2005-02-16,-1.42,-1.57,-1.26,-4.94691979,-5.104801677,-4.547036521
2003-07-01,2005-02-16,-0.56,-0.01,0.39,-2.573755654,-0.729371538,1.01605604
2003-10-01,2005-02-16,0.66,0.89,0.43,2.834158225,4.259216536,4.076256144
2004-01-01,2005-02-16,0.41,0.49,0.16,4.344774588,3.722000856,2.761453914
2004-04-01,2005-02-16,0.16,0.19,0.1,2.985706659,3.747517931,3.390842573
2004-07-01,2005-02-16,-0.02,-0.34,-0.28,3.530684203,2.54950771,1.602204908
2004-10-01,2005-02-16,-0.45,-0.7,-0.68,1.230768081,-0.088670484,0.362458213
2005-01-01,2005-02-16,-0.38,-0.21,-0.14,1.145067217,1.658531643,1.822058783
2005-04-01,2005-02-16,-0.1,-0.08,-0.06,1.76218636,1.573909399,1.325141944
2002-01-01,2005-03-01,-0.66,0.08,0.68,-2.399965237,-0.737829146,0.67383615
2002-04-01,2005-03-01,0.54,0.42,0.23,0.930299915,0.572981733,0.470019968
2002-07-01,2005-03-01,-0.27,-0.45,-0.44,-0.329777792,-1.457225086,-2.893293077
2002-10-01,2005-03-01,-0.71,-0.88,-1.18,-2.785753072,-2.497437953,-2.937865704
2003-01-01,2005-03-01,-1.03,-1.06,-1.66,-2.991193664,-3.651191856,-5.063535693
2003-04-01,2005-03-01,-1.43,-1.57,-1.26,-4.958589928,-5.092736343,-4.530122231
2003-07-01,2005-03-01,-0.57,-0.01,0.38,-2.563762693,-0.711656926,1.029022779
2003-10-01,2005-03-01,0.65,0.88,0.42,2.838158363,4.259501248,4.082853565
2004-01-01,2005-03-01,0.41,0.49,0.16,4.363016441,3.724376331,2.762286859
2004-04-01,2005-03-01,0.16,0.19,0.1,2.977698125,3.725378167,3.369840649
2004-07-01,2005-03-01,-0.02,-0.34,-0.27,3.511660549,2.549274445,1.629234831
2004-10-01,2005-03-01,-0.45,-0.69,-0.67,1.276815391,-0.008365978,0.453741015
2005-01-01,2005-03-01,-0.39,-0.55,-0.53,1.158850137,0.977022379,0.785519099
2005-04-01,2005-03-01,-0.47,-0.4,-0.34,0.605007906,0.446638889,0.315017125
2002-01-01,2005-03-16,-0.66,0.08,0.69,-2.421811102,-0.756531949,0.665999012
2002-04-01,2005-03-16,0.53,0.42,0.23,0.923896808,0.538420066,0.467750912
2002-07-01,2005-03-16,-0.28,-0.46,-0.45,-0.328537072,-1.476403034,-2.987865908
2002-10-01,2005-03-16,-0.72,-0.88,-1.19,-2.816758939,-2.49850872,-2.966934087
2003-01-01,2005-03-16,-1.03,-1.06,-1.67,-3.000691323,-3.653385924,-5.111243095
2003-04-01,2005-03-16,-1.44,-1.58,-1.27,-5.010719767,-5.158277115,-4.615973286
2003-07-01,2005-03-16,-0.57,-0.02,0.38,-2.610931594,-0.761844777,0.991733601
2003-10-01,2005-03-16,0.65,0.89,0.42,2.847165145,4.290079888,4.071105794
2004-01-01,2005-03-16,0.41,0.49,0.16,4.375319096,3.71750722,2.7297377
2004-04-01,2005-03-16,0.16,0.2,0.11,2.967110022,3.75748646,3.379435234
2004-07-01,2005-03-16,0.01,-0.3,-0.2,3.543678524,2.556748935,1.617674258
2004-10-01,2005-03-16,-0.33,-0.5,-0.37,1.285641316,-0.047630354,0.467721043
2005-01-01,2005-03-16,-0.02,-0.28,-0.34,1.201258961,0.741065324,0.40803364
2005-04-01,2005-03-16,-0.32,-0.28,-0.24,0.183355115,0.039997408,-0.044587364
2002-01-01,2005-04-01,-0.67,0.08,0.69,-2.488745912,-0.798469294,0.653091643
2002-04-01,2005-04-01,0.54,0.42,0.24,0.92147625,0.547174761,0.469831364
2002-07-01,2005-04-01,-0.27,-0.45,-0.44,-0.334513077,-1.478253738,-2.965168715
2002-10-01,2005-04-01,-0.71,-0.89,-1.19,-2.812067387,-2.503353453,-2.971104845
2003-01-01,2005-04-01,-1.04,-1.07,-1.67,-3.006498595,-3.666414564,-5.110793328
2003-04-01,2005-04-01,-1.44,-1.59,-1.28,-5.017743315,-5.165278988,-4.619802632
2003-07-01,2005-04-01,-0.58,-0.02,0.38,-2.618854932,-0.759744114,1.007255377
2003-10-01,2005-04-01,0.65,0.89,0.43,2.863454315,4.303456615,4.092894867
2004-01-01,2005-04-01,0.42,0.5,0.16,4.393237822,3.746477125,2.761583328
2004-04-01,2005-04-01,0.17,0.2,0.11,2.9907397,3.768054166,3.393976626
2004-07-01,2005-04-01,0,-0.31,-0.22,3.551286321,2.569548716,1.632578379
2004-10-01,2005-04-01,-0.37,-0.57,-0.49,1.281683512,-0.039520212,0.445045875
2005-01-01,2005-04-01,-0.18,-0.48,-0.79,1.158453988,0.678422038,0.010056619
2005-04-01,2005-04-01,-0.79,-0.71,-0.61,-0.375571075,-0.563775065,-0.621415513
2002-01-01,2005-04-15,-0.66,0.09,0.7,-2.546212024,-0.832857806,0.628945433
2002-04-01,2005-04-15,0.55,0.43,0.25,0.907218044,0.535960811,0.467747219
2002-07-01,2005-04-15,-0.26,-0.45,-0.44,-0.336580055,-1.492743883,-2.996217987
2002-10-01,2005-04-15,-0.7,-0.87,-1.19,-2.803847812,-2.479977193,-2.956291927
2003-01-01,2005-04-15,-1.03,-1.06,-1.67,-2.999262484,-3.656961842,-5.113980571
2003-04-01,2005-04-15,-1.44,-1.59,-1.28,-5.042609833,-5.19349879,-4.654249526
2003-07-01,2005-04-15,-0.57,-0.01,0.39,-2.648543609,-0.775282952,1.014093155
2003-10-01,2005-04-15,0.67,0.91,0.44,2.902088546,4.352355748,4.137701167
2004-01-01,2005-04-15,0.42,0.51,0.17,4.431266956,3.779545798,2.790639928
2004-04-01,2005-04-15,0.17,0.2,0.11,3.027402451,3.810266533,3.44002851
2004-07-01,2005-04-15,0,-0.32,-0.24,3.595842136,2.601538286,1.655446873
2004-10-01,2005-04-15,-0.41,-0.63,-0.59,1.296114657,-0.042469053,0.442566537
2005-01-01,2005-04-15,-0.35,-0.74,-1.19,1.169547256,0.709093775,-0.093103019
2005-04-01,2005-04-15,-1.31,-1.2,-1.04,-1.069480495,-1.544887928,-1.683130732
2005-07-01,2005-04-15,-0.88,-0.74,-0.62,-1.610997225,-1.422017693,-1.181697351
2002-01-01,2005-05-02,-0.67,0.09,0.7,-2.574108994,-0.851357702,0.624412241
2002-04-01,2005-05-02,0.55,0.43,0.25,0.908274459,0.5418012,0.466847197
2002-07-01,2005-05-02,-0.26,-0.44,-0.44,-0.339939065,-1.494929751,-2.98333711
2002-10-01,2005-05-02,-0.7,-0.87,-1.19,-2.80879607,-2.490440037,-2.965388927
2003-01-01,2005-05-02,-1.03,-1.07,-1.67,-3.014781773,-3.677313485,-5.126990721
2003-04-01,2005-05-02,-1.44,-1.59,-1.28,-5.059745283,-5.213325069,-4.672817899
2003-07-01,2005-05-02,-0.58,-0.01,0.39,-2.672812816,-0.793089766,1.00266455
2003-10-01,2005-05-02,0.67,0.9,0.44,2.895729976,4.351549495,4.147612062
2004-01-01,2005-05-02,0.43,0.51,0.17,4.439101859,3.796619391,2.811322404
2004-04-01,2005-05-02,0.17,0.2,0.11,3.048828682,3.831666935,3.47379328
2004-07-01,2005-05-02,0,-0.32,-0.25,3.62509132,2.627768431,1.6740864
2004-10-01,2005-05-02,-0.42,-0.64,-0.61,1.298695257,-0.03364087,0.427242006
2005-01-01,2005-05-02,-0.39,-0.78,-1.21,1.138064075,0.678153726,-0.07153356
2005-04-01,2005-05-02,-1.32,-1.22,-1.06,-0.755929623,-1.088331607,-1.184738129
2005-07-01,2005-05-02,-0.9,-0.75,-0.63,-1.134324375,-1.002524155,-0.834974813
2002-01-01,2005-05-16,-0.67,0.09,0.7,-2.513847118,-0.785235618,0.684025717
2002-04-01,2005-05-16,0.55,0.43,0.24,0.966310579,0.567240731,0.500529243
2002-07-01,2005-05-16,-0.27,-0.45,-0.45,-0.317328459,-1.490776733,-3.056294705
